ID,Weapon Name,Weapon Type,Affinity,Weapon Type Column,Affinity Column,Default Ash of War,Can Apply Ash of War,Ash of War 1,Ash of War 2,Ash of War 3,Ash of War 4,Ash of War 5,Ash of War 6,Ash of War 7,Ash of War 8,Ash of War 9,Ash of War 10,Ash of War 11,Ash of War 12,Ash of War 13,Ash of War 14,Ash of War 15,Ash of War 16,Ash of War 17,Ash of War 18,Ash of War 19,Ash of War 20,Ash of War 21,Ash of War 22,Ash of War 23,Ash of War 24,Ash of War 25,Ash of War 26,Ash of War 27,Ash of War 28,Ash of War 29,Ash of War 30,Ash of War 31,Ash of War 32,Ash of War 33,Ash of War 34,Ash of War 35,Ash of War 36,Ash of War 37,Ash of War 38,Ash of War 39,Ash of War 40,Ash of War 41,Ash of War 42,Ash of War 43,Ash of War 44,Ash of War 45,Ash of War 46,Ash of War 47,Ash of War 48,Ash of War 49,Ash of War 50,Ash of War 51,Ash of War 52,Ash of War 53,Ash of War 54,Ash of War 55,Ash of War 56
1020000,Parrying Dagger,Dagger,Standard,O,B,Parry,Yes,Impaling Thrust,Spinning Slash,Blood Tax,Repeating Thrust,Double Slash,Poison Moth Flight,Spinning Weapon,Sword Dance,Glintblade Phalanx,Sacred Blade,Glintstone Pebble,Bloody Slash,Storm Blade,Flaming Strike,Thunderbolt,Lightning Slash,Carian Grandeur,Carian Greatsword,Vacuum Slice,Blood Blade,Chilling Mist,Poisonous Mist,Parry,Hoarfrost Stomp,Storm Stomp,Kick,Lightning Ram,Flame of the Redmanes,Ground Slam,Golden Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Assassin's Gambit,Golden Vow,Sacred Order,Shared Order,Cragblade,Beast's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,White Shadow's Lure,,,,,,,,,,,,
1020100,Parrying Dagger,Dagger,Heavy,O,C,Parry,Yes,Impaling Thrust,Spinning Slash,Blood Tax,Repeating Thrust,Double Slash,Poison Moth Flight,Spinning Weapon,Sword Dance,Glintblade Phalanx,Sacred Blade,Glintstone Pebble,Bloody Slash,Storm Blade,Flaming Strike,Thunderbolt,Lightning Slash,Carian Grandeur,Carian Greatsword,Vacuum Slice,Blood Blade,Chilling Mist,Poisonous Mist,Parry,Hoarfrost Stomp,Storm Stomp,Kick,Lightning Ram,Flame of the Redmanes,Ground Slam,Golden Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Assassin's Gambit,Golden Vow,Sacred Order,Shared Order,Cragblade,Beast's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,White Shadow's Lure,,,,,,,,,,,,
1020200,Parrying Dagger,Dagger,Keen,O,D,Parry,Yes,Impaling Thrust,Spinning Slash,Blood Tax,Repeating Thrust,Double Slash,Poison Moth Flight,Spinning Weapon,Sword Dance,Glintblade Phalanx,Sacred Blade,Glintstone Pebble,Bloody Slash,Storm Blade,Flaming Strike,Thunderbolt,Lightning Slash,Carian Grandeur,Carian Greatsword,Vacuum Slice,Blood Blade,Chilling Mist,Poisonous Mist,Parry,Hoarfrost Stomp,Storm Stomp,Kick,Lightning Ram,Flame of the Redmanes,Ground Slam,Golden Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Assassin's Gambit,Golden Vow,Sacred Order,Shared Order,Cragblade,Beast's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,White Shadow's Lure,,,,,,,,,,,,
1020300,Parrying Dagger,Dagger,Quality,O,E,Parry,Yes,Impaling Thrust,Spinning Slash,Blood Tax,Repeating Thrust,Double Slash,Poison Moth Flight,Spinning Weapon,Sword Dance,Glintblade Phalanx,Sacred Blade,Glintstone Pebble,Bloody Slash,Storm Blade,Flaming Strike,Thunderbolt,Lightning Slash,Carian Grandeur,Carian Greatsword,Vacuum Slice,Blood Blade,Chilling Mist,Poisonous Mist,Parry,Hoarfrost Stomp,Storm Stomp,Kick,Lightning Ram,Flame of the Redmanes,Ground Slam,Golden Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Assassin's Gambit,Golden Vow,Sacred Order,Shared Order,Cragblade,Beast's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,White Shadow's Lure,,,,,,,,,,,,
1020400,Parrying Dagger,Dagger,Fire,O,F,Parry,Yes,Impaling Thrust,Spinning Slash,Repeating Thrust,Double Slash,Sword Dance,Storm Blade,Flaming Strike,Vacuum Slice,Parry,Storm Stomp,Kick,Flame of the Redmanes,Ground Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Cragblade,Beast's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020500,Parrying Dagger,Dagger,Flame Art,O,G,Parry,Yes,Impaling Thrust,Spinning Slash,Repeating Thrust,Double Slash,Sword Dance,Storm Blade,Flaming Strike,Vacuum Slice,Parry,Storm Stomp,Kick,Flame of the Redmanes,Ground Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Cragblade,Beast's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020600,Parrying Dagger,Dagger,Lightning,O,H,Parry,Yes,Impaling Thrust,Spinning Slash,Repeating Thrust,Double Slash,Sword Dance,Sacred Blade,Storm Blade,Thunderbolt,Lightning Slash,Vacuum Slice,Parry,Storm Stomp,Kick,Lightning Ram,Ground Slam,Golden Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Golden Vow,Sacred Order,Shared Order,Cragblade,Beast's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020700,Parrying Dagger,Dagger,Sacred,O,I,Parry,Yes,Impaling Thrust,Spinning Slash,Repeating Thrust,Double Slash,Sword Dance,Sacred Blade,Storm Blade,Thunderbolt,Lightning Slash,Vacuum Slice,Parry,Storm Stomp,Kick,Lightning Ram,Ground Slam,Golden Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Golden Vow,Sacred Order,Shared Order,Cragblade,Beast's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020800,Parrying Dagger,Dagger,Magic,O,J,Parry,Yes,Impaling Thrust,Spinning Slash,Repeating Thrust,Double Slash,Spinning Weapon,,Glintblade Phalanx,Glintstone Pebble,Storm Blade,Carian Grandeur,Carian Greatsword,Vacuum Slice,Chilling Mist,Parry,Hoarfrost Stomp,Storm Stomp,Kick,Ground Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Cragblade,Beast's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020900,Parrying Dagger,Dagger,Cold,O,K,Parry,Yes,Impaling Thrust,Spinning Slash,Repeating Thrust,Double Slash,Spinning Weapon,,Glintblade Phalanx,Glintstone Pebble,Storm Blade,Carian Grandeur,Carian Greatsword,Vacuum Slice,Chilling Mist,Parry,Hoarfrost Stomp,Storm Stomp,Kick,Ground Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Cragblade,Beast's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021000,Parrying Dagger,Dagger,Poison,O,L,Parry,Yes,Impaling Thrust,Spinning Slash,Blood Tax,Repeating Thrust,Double Slash,Poison Moth Flight,,Bloody Slash,Storm Blade,Vacuum Slice,Blood Blade,Poisonous Mist,Parry,Storm Stomp,Kick,Ground Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Assassin's Gambit,Cragblade,Beast's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,White Shadow's Lure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021100,Parrying Dagger,Dagger,Blood,O,M,Parry,Yes,Impaling Thrust,Spinning Slash,Blood Tax,Repeating Thrust,Double Slash,Poison Moth Flight,,Bloody Slash,Storm Blade,Vacuum Slice,Blood Blade,Poisonous Mist,Parry,Storm Stomp,Kick,Ground Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Assassin's Gambit,Cragblade,Beast's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,White Shadow's Lure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021200,Parrying Dagger,Dagger,Occult,O,N,Parry,Yes,Impaling Thrust,Spinning Slash,Blood Tax,Repeating Thrust,Double Slash,Poison Moth Flight,,Bloody Slash,Storm Blade,Vacuum Slice,Blood Blade,Poisonous Mist,Parry,Storm Stomp,Kick,Ground Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Assassin's Gambit,Cragblade,Beast's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,White Shadow's Lure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030000,Miséricorde,Dagger,Standard,O,B,Quickstep,Yes,Impaling Thrust,Spinning Slash,Blood Tax,Repeating Thrust,Double Slash,Poison Moth Flight,Spinning Weapon,Sword Dance,Glintblade Phalanx,Sacred Blade,Glintstone Pebble,Bloody Slash,Storm Blade,Flaming Strike,Thunderbolt,Lightning Slash,Carian Grandeur,Carian Greatsword,Vacuum Slice,Blood Blade,Chilling Mist,Poisonous Mist,Parry,Hoarfrost Stomp,Storm Stomp,Kick,Lightning Ram,Flame of the Redmanes,Ground Slam,Golden Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Assassin's Gambit,Golden Vow,Sacred Order,Shared Order,Cragblade,Beast's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,White Shadow's Lure,,,,,,,,,,,,
1030100,Miséricorde,Dagger,Heavy,O,C,Quickstep,Yes,Impaling Thrust,Spinning Slash,Blood Tax,Repeating Thrust,Double Slash,Poison Moth Flight,Spinning Weapon,Sword Dance,Glintblade Phalanx,Sacred Blade,Glintstone Pebble,Bloody Slash,Storm Blade,Flaming Strike,Thunderbolt,Lightning Slash,Carian Grandeur,Carian Greatsword,Vacuum Slice,Blood Blade,Chilling Mist,Poisonous Mist,Parry,Hoarfrost Stomp,Storm Stomp,Kick,Lightning Ram,Flame of the Redmanes,Ground Slam,Golden Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Assassin's Gambit,Golden Vow,Sacred Order,Shared Order,Cragblade,Beast's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,White Shadow's Lure,,,,,,,,,,,,
1030200,Miséricorde,Dagger,Keen,O,D,Quickstep,Yes,Impaling Thrust,Spinning Slash,Blood Tax,Repeating Thrust,Double Slash,Poison Moth Flight,Spinning Weapon,Sword Dance,Glintblade Phalanx,Sacred Blade,Glintstone Pebble,Bloody Slash,Storm Blade,Flaming Strike,Thunderbolt,Lightning Slash,Carian Grandeur,Carian Greatsword,Vacuum Slice,Blood Blade,Chilling Mist,Poisonous Mist,Parry,Hoarfrost Stomp,Storm Stomp,Kick,Lightning Ram,Flame of the Redmanes,Ground Slam,Golden Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Assassin's Gambit,Golden Vow,Sacred Order,Shared Order,Cragblade,Beast's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,White Shadow's Lure,,,,,,,,,,,,
1030300,Miséricorde,Dagger,Quality,O,E,Quickstep,Yes,Impaling Thrust,Spinning Slash,Blood Tax,Repeating Thrust,Double Slash,Poison Moth Flight,Spinning Weapon,Sword Dance,Glintblade Phalanx,Sacred Blade,Glintstone Pebble,Bloody Slash,Storm Blade,Flaming Strike,Thunderbolt,Lightning Slash,Carian Grandeur,Carian Greatsword,Vacuum Slice,Blood Blade,Chilling Mist,Poisonous Mist,Parry,Hoarfrost Stomp,Storm Stomp,Kick,Lightning Ram,Flame of the Redmanes,Ground Slam,Golden Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Assassin's Gambit,Golden Vow,Sacred Order,Shared Order,Cragblade,Beast's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,White Shadow's Lure,,,,,,,,,,,,
1030400,Miséricorde,Dagger,Fire,O,F,Quickstep,Yes,Impaling Thrust,Spinning Slash,Repeating Thrust,Double Slash,Sword Dance,Storm Blade,Flaming Strike,Vacuum Slice,Parry,Storm Stomp,Kick,Flame of the Redmanes,Ground Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Cragblade,Beast's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030500,Miséricorde,Dagger,Flame Art,O,G,Quickstep,Yes,Impaling Thrust,Spinning Slash,Repeating Thrust,Double Slash,Sword Dance,Storm Blade,Flaming Strike,Vacuum Slice,Parry,Storm Stomp,Kick,Flame of the Redmanes,Ground Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Cragblade,Beast's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030600,Miséricorde,Dagger,Lightning,O,H,Quickstep,Yes,Impaling Thrust,Spinning Slash,Repeating Thrust,Double Slash,Sword Dance,Sacred Blade,Storm Blade,Thunderbolt,Lightning Slash,Vacuum Slice,Parry,Storm Stomp,Kick,Lightning Ram,Ground Slam,Golden Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Golden Vow,Sacred Order,Shared Order,Cragblade,Beast's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030700,Miséricorde,Dagger,Sacred,O,I,Quickstep,Yes,Impaling Thrust,Spinning Slash,Repeating Thrust,Double Slash,Sword Dance,Sacred Blade,Storm Blade,Thunderbolt,Lightning Slash,Vacuum Slice,Parry,Storm Stomp,Kick,Lightning Ram,Ground Slam,Golden Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Golden Vow,Sacred Order,Shared Order,Cragblade,Beast's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030800,Miséricorde,Dagger,Magic,O,J,Quickstep,Yes,Impaling Thrust,Spinning Slash,Repeating Thrust,Double Slash,Spinning Weapon,,Glintblade Phalanx,Glintstone Pebble,Storm Blade,Carian Grandeur,Carian Greatsword,Vacuum Slice,Chilling Mist,Parry,Hoarfrost Stomp,Storm Stomp,Kick,Ground Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Cragblade,Beast's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030900,Miséricorde,Dagger,Cold,O,K,Quickstep,Yes,Impaling Thrust,Spinning Slash,Repeating Thrust,Double Slash,Spinning Weapon,,Glintblade Phalanx,Glintstone Pebble,Storm Blade,Carian Grandeur,Carian Greatsword,Vacuum Slice,Chilling Mist,Parry,Hoarfrost Stomp,Storm Stomp,Kick,Ground Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Cragblade,Beast's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031000,Miséricorde,Dagger,Poison,O,L,Quickstep,Yes,Impaling Thrust,Spinning Slash,Blood Tax,Repeating Thrust,Double Slash,Poison Moth Flight,,Bloody Slash,Storm Blade,Vacuum Slice,Blood Blade,Poisonous Mist,Parry,Storm Stomp,Kick,Ground Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Assassin's Gambit,Cragblade,Beast's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,White Shadow's Lure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031100,Miséricorde,Dagger,Blood,O,M,Quickstep,Yes,Impaling Thrust,Spinning Slash,Blood Tax,Repeating Thrust,Double Slash,Poison Moth Flight,,Bloody Slash,Storm Blade,Vacuum Slice,Blood Blade,Poisonous Mist,Parry,Storm Stomp,Kick,Ground Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Assassin's Gambit,Cragblade,Beast's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,White Shadow's Lure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031200,Miséricorde,Dagger,Occult,O,N,Quickstep,Yes,Impaling Thrust,Spinning Slash,Blood Tax,Repeating Thrust,Double Slash,Poison Moth Flight,,Bloody Slash,Storm Blade,Vacuum Slice,Blood Blade,Poisonous Mist,Parry,Storm Stomp,Kick,Ground Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Assassin's Gambit,Cragblade,Beast's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,White Shadow's Lure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040000,Reduvia,Dagger,-,O,AW,Reduvia Blood Blade,No,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050000,Crystal Knife,Dagger,-,O,AW,Quickstep,No,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060000,Celebrant's Sickle,Dagger,Standard,O,B,Quickstep,Yes,Impaling Thrust,Spinning Slash,Blood Tax,Repeating Thrust,Double Slash,Poison Moth Flight,Spinning Weapon,Sword Dance,Glintblade Phalanx,Sacred Blade,Glintstone Pebble,Bloody Slash,Storm Blade,Flaming Strike,Thunderbolt,Lightning Slash,Carian Grandeur,Carian Greatsword,Vacuum Slice,Blood Blade,Chilling Mist,Poisonous Mist,Parry,Hoarfrost Stomp,Storm Stomp,Kick,Lightning Ram,Flame of the Redmanes,Ground Slam,Golden Slam,Hoarah Loux's Earthshaker,Determination,Royal Knight's Resolve,Assassin's Gambit,Golden Vow,Sacred Order,Shared Order,Cragblade,Beast's Roar,Endure,Quickstep,Bloodhound's Step,Raptor of the Mists,White Shadow's Lure,,,,,,,,,,,,
