Name,Ash Name,Icon,Upgrade,Info 1,Info 2,Caption,FP Cost,HP Cost,HP,Defense,Standard Negation,Slash Negation,Strike Negation,Pierce Negation,Magic Negation,Fire Negation,Lightning Negation,Holy Negation,Poison,Rot,Blood,Frost,Sleep,Madness,Death Blight,Upgrade Type,Upgrade Cost,Drop Type,Achievement,NPC ID,ReinforcementSpEffect ID,ID,Ash ID,Icon ID,Sort Group ID,Sort ID
Noble Sorcerer Ashes +6,Noble Sorcerer Ashes,#REF!,6,Summons noble sorcerer spirit,Noble Sorcerer,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of a noble sorcerer.

Spirit of a nobleman who once asked to be given a place at Raya Lucaria to learn glintstone sorceries.
His talents were insufficient to be worthy of donning the stone crown, however, and he is only capable of using the most rudimentary sorcery.",11,-,"2,311",111,-10,-10,-10,-10,-20,-20,-20,0,IMMUNE,IMMUNE,IMMUNE,IMMUNE,181,IMMUNE,IMMUNE,Ashes,136,1,No,143002000,290006,241006,241,107,10,50106
Noble Sorcerer Ashes +7,Noble Sorcerer Ashes,#REF!,7,Summons noble sorcerer spirit,Noble Sorcerer,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of a noble sorcerer.

Spirit of a nobleman who once asked to be given a place at Raya Lucaria to learn glintstone sorceries.
His talents were insufficient to be worthy of donning the stone crown, however, and he is only capable of using the most rudimentary sorcery.",11,-,"2,933",114,-10,-10,-10,-10,-20,-20,-20,0,IMMUNE,IMMUNE,IMMUNE,IMMUNE,184,IMMUNE,IMMUNE,Ashes,152,1,No,143002000,290007,241007,241,107,10,50107
Noble Sorcerer Ashes +8,Noble Sorcerer Ashes,#REF!,8,Summons noble sorcerer spirit,Noble Sorcerer,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of a noble sorcerer.

Spirit of a nobleman who once asked to be given a place at Raya Lucaria to learn glintstone sorceries.
His talents were insufficient to be worthy of donning the stone crown, however, and he is only capable of using the most rudimentary sorcery.",11,-,"3,899",117,-10,-10,-10,-10,-20,-20,-20,0,IMMUNE,IMMUNE,IMMUNE,IMMUNE,187,IMMUNE,IMMUNE,Ashes,168,1,No,143002000,290008,241008,241,107,10,50108
Noble Sorcerer Ashes +9,Noble Sorcerer Ashes,#REF!,9,Summons noble sorcerer spirit,Noble Sorcerer,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of a noble sorcerer.

Spirit of a nobleman who once asked to be given a place at Raya Lucaria to learn glintstone sorceries.
His talents were insufficient to be worthy of donning the stone crown, however, and he is only capable of using the most rudimentary sorcery.",11,-,"4,666",118,-10,-10,-10,-10,-20,-20,-20,0,IMMUNE,IMMUNE,IMMUNE,IMMUNE,188,IMMUNE,IMMUNE,Ashes,200,1,No,143002000,290009,241009,241,107,10,50109
Noble Sorcerer Ashes +10,Noble Sorcerer Ashes,#REF!,10,Summons noble sorcerer spirit,Noble Sorcerer,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of a noble sorcerer.

Spirit of a nobleman who once asked to be given a place at Raya Lucaria to learn glintstone sorceries.
His talents were insufficient to be worthy of donning the stone crown, however, and he is only capable of using the most rudimentary sorcery.",11,-,"4,888",120,-10,-10,-10,-10,-20,-20,-20,0,IMMUNE,IMMUNE,IMMUNE,IMMUNE,200,IMMUNE,IMMUNE,Ashes,0,1,No,143002000,290010,241010,241,107,10,50110
Nomad Ashes,Nomad Ashes,#REF!,0,Summons nomad spirit,Nomad,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of a nomad.

A member of a tribe that was entombed in the earth so as to bury the maddening disease that followed them. Able to emit the terrible flame of frenzy from his eyes, but has low HP and is frail, unable to take much in the way of punishment.",61,-,359,100,-10,-10,0,-10,0,0,0,0,IMMUNE,IMMUNE,IMMUNE,IMMUNE,,IMMUNE,IMMUNE,Ashes,650,1,No,132010000,290000,205000,205,116,10,50200
Nomad Ashes +1,Nomad Ashes,#REF!,1,Summons nomad spirit,Nomad,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of a nomad.

A member of a tribe that was entombed in the earth so as to bury the maddening disease that followed them. Able to emit the terrible flame of frenzy from his eyes, but has low HP and is frail, unable to take much in the way of punishment.",61,-,460,102,-10,-10,0,-10,0,0,0,0,IMMUNE,IMMUNE,IMMUNE,IMMUNE,,IMMUNE,IMMUNE,Ashes,910,1,No,132010000,290001,205001,205,116,10,50201
Nomad Ashes +2,Nomad Ashes,#REF!,2,Summons nomad spirit,Nomad,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of a nomad.

A member of a tribe that was entombed in the earth so as to bury the maddening disease that followed them. Able to emit the terrible flame of frenzy from his eyes, but has low HP and is frail, unable to take much in the way of punishment.",61,-,651,105,-10,-10,0,-10,0,0,0,0,IMMUNE,IMMUNE,IMMUNE,IMMUNE,,IMMUNE,IMMUNE,Ashes,1170,1,No,132010000,290002,205002,205,116,10,50202
Nomad Ashes +3,Nomad Ashes,#REF!,3,Summons nomad spirit,Nomad,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of a nomad.

A member of a tribe that was entombed in the earth so as to bury the maddening disease that followed them. Able to emit the terrible flame of frenzy from his eyes, but has low HP and is frail, unable to take much in the way of punishment.",61,-,813,107,-10,-10,0,-10,0,0,0,0,IMMUNE,IMMUNE,IMMUNE,IMMUNE,,IMMUNE,IMMUNE,Ashes,1430,1,No,132010000,290003,205003,205,116,10,50203
Nomad Ashes +4,Nomad Ashes,#REF!,4,Summons nomad spirit,Nomad,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of a nomad.

A member of a tribe that was entombed in the earth so as to bury the maddening disease that followed them. Able to emit the terrible flame of frenzy from his eyes, but has low HP and is frail, unable to take much in the way of punishment.",61,-,864,109,-10,-10,0,-10,0,0,0,0,IMMUNE,IMMUNE,IMMUNE,IMMUNE,,IMMUNE,IMMUNE,Ashes,1690,1,No,132010000,290004,205004,205,116,10,50204
Nomad Ashes +5,Nomad Ashes,#REF!,5,Summons nomad spirit,Nomad,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of a nomad.

A member of a tribe that was entombed in the earth so as to bury the maddening disease that followed them. Able to emit the terrible flame of frenzy from his eyes, but has low HP and is frail, unable to take much in the way of punishment.",61,-,965,110,-10,-10,0,-10,0,0,0,0,IMMUNE,IMMUNE,IMMUNE,IMMUNE,,IMMUNE,IMMUNE,Ashes,1950,1,No,132010000,290005,205005,205,116,10,50205
Nomad Ashes +6,Nomad Ashes,#REF!,6,Summons nomad spirit,Nomad,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of a nomad.

A member of a tribe that was entombed in the earth so as to bury the maddening disease that followed them. Able to emit the terrible flame of frenzy from his eyes, but has low HP and is frail, unable to take much in the way of punishment.",61,-,"1,167",111,-10,-10,0,-10,0,0,0,0,IMMUNE,IMMUNE,IMMUNE,IMMUNE,,IMMUNE,IMMUNE,Ashes,2210,1,No,132010000,290006,205006,205,116,10,50206
Nomad Ashes +7,Nomad Ashes,#REF!,7,Summons nomad spirit,Nomad,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of a nomad.

A member of a tribe that was entombed in the earth so as to bury the maddening disease that followed them. Able to emit the terrible flame of frenzy from his eyes, but has low HP and is frail, unable to take much in the way of punishment.",61,-,"1,481",114,-10,-10,0,-10,0,0,0,0,IMMUNE,IMMUNE,IMMUNE,IMMUNE,,IMMUNE,IMMUNE,Ashes,2470,1,No,132010000,290007,205007,205,116,10,50207
Nomad Ashes +8,Nomad Ashes,#REF!,8,Summons nomad spirit,Nomad,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of a nomad.

A member of a tribe that was entombed in the earth so as to bury the maddening disease that followed them. Able to emit the terrible flame of frenzy from his eyes, but has low HP and is frail, unable to take much in the way of punishment.",61,-,"1,969",117,-10,-10,0,-10,0,0,0,0,IMMUNE,IMMUNE,IMMUNE,IMMUNE,,IMMUNE,IMMUNE,Ashes,2730,1,No,132010000,290008,205008,205,116,10,50208
Nomad Ashes +9,Nomad Ashes,#REF!,9,Summons nomad spirit,Nomad,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of a nomad.

A member of a tribe that was entombed in the earth so as to bury the maddening disease that followed them. Able to emit the terrible flame of frenzy from his eyes, but has low HP and is frail, unable to take much in the way of punishment.",61,-,"2,356",118,-10,-10,0,-10,0,0,0,0,IMMUNE,IMMUNE,IMMUNE,IMMUNE,,IMMUNE,IMMUNE,Ashes,3250,1,No,132010000,290009,205009,205,116,10,50209
Nomad Ashes +10,Nomad Ashes,#REF!,10,Summons nomad spirit,Nomad,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of a nomad.

A member of a tribe that was entombed in the earth so as to bury the maddening disease that followed them. Able to emit the terrible flame of frenzy from his eyes, but has low HP and is frail, unable to take much in the way of punishment.",61,-,"2,468",120,-10,-10,0,-10,0,0,0,0,IMMUNE,IMMUNE,IMMUNE,IMMUNE,,IMMUNE,IMMUNE,Ashes,0,1,No,132010000,290010,205010,205,116,10,50210
Putrid Corpse Ashes,Putrid Corpse Ashes,#REF!,0,Summons four putrid corpse spirits,Putrid Corpses,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of four putrid corpses.

These spirits appear some distance from the summoner. Though their movements are dull and confused, their low moans make them effective at drawing the attention of enemies. True death does not come easily for them.",40,-,"1,631",100,-40,-40,-40,-40,-40,-40,-40,-40,IMMUNE,IMMUNE,IMMUNE,IMMUNE,126,IMMUNE,IMMUNE,Ashes,280,1,No,136610000,290000,215000,215,123,10,50300
Putrid Corpse Ashes +1,Putrid Corpse Ashes,#REF!,1,Summons four putrid corpse spirits,Putrid Corpses,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of four putrid corpses.

These spirits appear some distance from the summoner. Though their movements are dull and confused, their low moans make them effective at drawing the attention of enemies. True death does not come easily for them.",40,-,"2,089",102,-40,-40,-40,-40,-40,-40,-40,-40,IMMUNE,IMMUNE,IMMUNE,IMMUNE,128,IMMUNE,IMMUNE,Ashes,392,1,No,136610000,290001,215001,215,123,10,50301
Putrid Corpse Ashes +2,Putrid Corpse Ashes,#REF!,2,Summons four putrid corpse spirits,Putrid Corpses,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of four putrid corpses.

These spirits appear some distance from the summoner. Though their movements are dull and confused, their low moans make them effective at drawing the attention of enemies. True death does not come easily for them.",40,-,"2,957",105,-40,-40,-40,-40,-40,-40,-40,-40,IMMUNE,IMMUNE,IMMUNE,IMMUNE,130,IMMUNE,IMMUNE,Ashes,504,1,No,136610000,290002,215002,215,123,10,50302
Putrid Corpse Ashes +3,Putrid Corpse Ashes,#REF!,3,Summons four putrid corpse spirits,Putrid Corpses,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of four putrid corpses.

These spirits appear some distance from the summoner. Though their movements are dull and confused, their low moans make them effective at drawing the attention of enemies. True death does not come easily for them.",40,-,"3,696",107,-40,-40,-40,-40,-40,-40,-40,-40,IMMUNE,IMMUNE,IMMUNE,IMMUNE,132,IMMUNE,IMMUNE,Ashes,616,1,No,136610000,290003,215003,215,123,10,50303
Putrid Corpse Ashes +4,Putrid Corpse Ashes,#REF!,4,Summons four putrid corpse spirits,Putrid Corpses,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of four putrid corpses.

These spirits appear some distance from the summoner. Though their movements are dull and confused, their low moans make them effective at drawing the attention of enemies. True death does not come easily for them.",40,-,"3,924",109,-40,-40,-40,-40,-40,-40,-40,-40,IMMUNE,IMMUNE,IMMUNE,IMMUNE,133,IMMUNE,IMMUNE,Ashes,728,1,No,136610000,290004,215004,215,123,10,50304
Putrid Corpse Ashes +5,Putrid Corpse Ashes,#REF!,5,Summons four putrid corpse spirits,Putrid Corpses,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of four putrid corpses.

These spirits appear some distance from the summoner. Though their movements are dull and confused, their low moans make them effective at drawing the attention of enemies. True death does not come easily for them.",40,-,"4,384",110,-40,-40,-40,-40,-40,-40,-40,-40,IMMUNE,IMMUNE,IMMUNE,IMMUNE,134,IMMUNE,IMMUNE,Ashes,840,1,No,136610000,290005,215005,215,123,10,50305
Putrid Corpse Ashes +6,Putrid Corpse Ashes,#REF!,6,Summons four putrid corpse spirits,Putrid Corpses,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of four putrid corpses.

These spirits appear some distance from the summoner. Though their movements are dull and confused, their low moans make them effective at drawing the attention of enemies. True death does not come easily for them.",40,-,"5,301",111,-40,-40,-40,-40,-40,-40,-40,-40,IMMUNE,IMMUNE,IMMUNE,IMMUNE,135,IMMUNE,IMMUNE,Ashes,952,1,No,136610000,290006,215006,215,123,10,50306
Putrid Corpse Ashes +7,Putrid Corpse Ashes,#REF!,7,Summons four putrid corpse spirits,Putrid Corpses,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of four putrid corpses.

These spirits appear some distance from the summoner. Though their movements are dull and confused, their low moans make them effective at drawing the attention of enemies. True death does not come easily for them.",40,-,"6,728",114,-40,-40,-40,-40,-40,-40,-40,-40,IMMUNE,IMMUNE,IMMUNE,IMMUNE,138,IMMUNE,IMMUNE,Ashes,1064,1,No,136610000,290007,215007,215,123,10,50307
Putrid Corpse Ashes +8,Putrid Corpse Ashes,#REF!,8,Summons four putrid corpse spirits,Putrid Corpses,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of four putrid corpses.

These spirits appear some distance from the summoner. Though their movements are dull and confused, their low moans make them effective at drawing the attention of enemies. True death does not come easily for them.",40,-,"8,944",117,-40,-40,-40,-40,-40,-40,-40,-40,IMMUNE,IMMUNE,IMMUNE,IMMUNE,140,IMMUNE,IMMUNE,Ashes,1176,1,No,136610000,290008,215008,215,123,10,50308
Putrid Corpse Ashes +9,Putrid Corpse Ashes,#REF!,9,Summons four putrid corpse spirits,Putrid Corpses,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of four putrid corpses.

These spirits appear some distance from the summoner. Though their movements are dull and confused, their low moans make them effective at drawing the attention of enemies. True death does not come easily for them.",40,-,"10,704",118,-40,-40,-40,-40,-40,-40,-40,-40,IMMUNE,IMMUNE,IMMUNE,IMMUNE,141,IMMUNE,IMMUNE,Ashes,1400,1,No,136610000,290009,215009,215,123,10,50309
Putrid Corpse Ashes +10,Putrid Corpse Ashes,#REF!,10,Summons four putrid corpse spirits,Putrid Corpses,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of four putrid corpses.

These spirits appear some distance from the summoner. Though their movements are dull and confused, their low moans make them effective at drawing the attention of enemies. True death does not come easily for them.",40,-,"11,213",120,-40,-40,-40,-40,-40,-40,-40,-40,IMMUNE,IMMUNE,IMMUNE,IMMUNE,150,IMMUNE,IMMUNE,Ashes,0,1,No,136610000,290010,215010,215,123,10,50310
Skeletal Militiaman Ashes,Skeletal Militiaman Ashes,#REF!,0,Summons two skeletal militiaman spirits,Skeletal Militiamen,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of two skeletal militiamen.

These are the spirits of militiamen who live in Death, and will continue to rise again until properly finished off.
This is the grotesque fate of those who come into contact with Deathroot.",44,-,365,100,0,10,-40,35,0,20,40,-40,IMMUNE,IMMUNE,IMMUNE,IMMUNE,,IMMUNE,IMMUNE,Ashes,160,1,No,135000000,290000,212000,212,102,10,50400
Skeletal Militiaman Ashes +1,Skeletal Militiaman Ashes,#REF!,1,Summons two skeletal militiaman spirits,Skeletal Militiamen,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of two skeletal militiamen.

These are the spirits of militiamen who live in Death, and will continue to rise again until properly finished off.
This is the grotesque fate of those who come into contact with Deathroot.",44,-,468,102,0,10,-40,35,0,20,40,-40,IMMUNE,IMMUNE,IMMUNE,IMMUNE,,IMMUNE,IMMUNE,Ashes,224,1,No,135000000,290001,212001,212,102,10,50401
Skeletal Militiaman Ashes +2,Skeletal Militiaman Ashes,#REF!,2,Summons two skeletal militiaman spirits,Skeletal Militiamen,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of two skeletal militiamen.

These are the spirits of militiamen who live in Death, and will continue to rise again until properly finished off.
This is the grotesque fate of those who come into contact with Deathroot.",44,-,662,105,0,10,-40,35,0,20,40,-40,IMMUNE,IMMUNE,IMMUNE,IMMUNE,,IMMUNE,IMMUNE,Ashes,288,1,No,135000000,290002,212002,212,102,10,50402
Skeletal Militiaman Ashes +3,Skeletal Militiaman Ashes,#REF!,3,Summons two skeletal militiaman spirits,Skeletal Militiamen,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of two skeletal militiamen.

These are the spirits of militiamen who live in Death, and will continue to rise again until properly finished off.
This is the grotesque fate of those who come into contact with Deathroot.",44,-,827,107,0,10,-40,35,0,20,40,-40,IMMUNE,IMMUNE,IMMUNE,IMMUNE,,IMMUNE,IMMUNE,Ashes,352,1,No,135000000,290003,212003,212,102,10,50403
Skeletal Militiaman Ashes +4,Skeletal Militiaman Ashes,#REF!,4,Summons two skeletal militiaman spirits,Skeletal Militiamen,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of two skeletal militiamen.

These are the spirits of militiamen who live in Death, and will continue to rise again until properly finished off.
This is the grotesque fate of those who come into contact with Deathroot.",44,-,878,109,0,10,-40,35,0,20,40,-40,IMMUNE,IMMUNE,IMMUNE,IMMUNE,,IMMUNE,IMMUNE,Ashes,416,1,No,135000000,290004,212004,212,102,10,50404
Skeletal Militiaman Ashes +5,Skeletal Militiaman Ashes,#REF!,5,Summons two skeletal militiaman spirits,Skeletal Militiamen,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of two skeletal militiamen.

These are the spirits of militiamen who live in Death, and will continue to rise again until properly finished off.
This is the grotesque fate of those who come into contact with Deathroot.",44,-,981,110,0,10,-40,35,0,20,40,-40,IMMUNE,IMMUNE,IMMUNE,IMMUNE,,IMMUNE,IMMUNE,Ashes,480,1,No,135000000,290005,212005,212,102,10,50405
Skeletal Militiaman Ashes +6,Skeletal Militiaman Ashes,#REF!,6,Summons two skeletal militiaman spirits,Skeletal Militiamen,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of two skeletal militiamen.

These are the spirits of militiamen who live in Death, and will continue to rise again until properly finished off.
This is the grotesque fate of those who come into contact with Deathroot.",44,-,"1,186",111,0,10,-40,35,0,20,40,-40,IMMUNE,IMMUNE,IMMUNE,IMMUNE,,IMMUNE,IMMUNE,Ashes,544,1,No,135000000,290006,212006,212,102,10,50406
