Name,Icon,Info 1,Info 2,Caption,Drop Type,No. Held Max,Storage Max,Sell Price,ID,Icon ID,Sort Group ID,Sort ID
Yellow Ember,,Material used for crafting items,Found in lands afflicted by frenzy,"An ember taken from the eye socket of a corpse.
Material used for crafting items.

A sign that the deceased suffered from the flame of frenzy. This grape has ripened and burst.",White (Large),999,999,10,20845,01046,10,100300
Rowa Fruit,,Material used for crafting items,Easily found everywhere in the Lands Between,"Berry-like red fruits that grow in shrubs.
Material used for crafting items.

Easily found everywhere in the Lands Between, it has a wide variety of uses.",White (Small),999,999,10,20720,00531,20,101000
Golden Rowa,,Material used for crafting items,Easily found near the Erdtree,"A Rowa fruit tinted with gold.
Material used for crafting items.

Easily found near the Erdtree.",White (Small),999,999,10,20721,00532,20,101010
Rimed Rowa,,Material used for crafting items,Found in frigid highlands,"A berry-like fruit, thought to be the original strain of Rowa.
Material used for crafting items.
Found in frigid highlands.

This hardy species takes root even when frozen solid.",White (Small),999,999,10,20722,01005,20,101020
Herba,,Material used for crafting items,Found in thickets and elsewhere,"Evergreen leaves that give off a faint light.
Material used for crafting items.

This very common medicinal plant can be found in thickets and elsewhere.",White (Small),999,999,10,20690,00533,20,101030
Dewkissed Herba,,Material used for crafting items,Found in and around the Eternal City,"A herb that grows in the false night in and around the Eternal City.
Material used for crafting items.

Soaked in arcane dew, it gives off the faint glow of starlight.",White (Small),999,999,10,20710,01008,20,101040
Arteria Leaf,,Material used for crafting items,Exceedingly rare to find,"Dark red leaves with thick, swollen veins.
Material used for crafting items.
Exceedingly rare to find.

A faint pulse can be felt in the veins.
Stirs the blood, providing an enlivening effect.",Purple,999,999,100,20691,01042,20,101050
Mushroom,,Material used for crafting items,Thrives in damp thickets and elsewhere,"A fungal growth that thrives in damp thickets and elsewhere. Material used for crafting items.

Its thick, spongy flesh makes it a key component in throwing pots.",White (Small),999,999,10,20760,01024,20,101060
Toxic Mushroom,,Material used for crafting items,Grows in rotten lands,"A mushroom covered in toxic mold that grows in rotten lands. Material used for crafting items.

A skilled hand can repurpose its toxic mold into an effective ward against scarlet rot.",White (Small),999,999,10,20770,01004,20,101070
Melted Mushroom,,Material used for crafting items,Found in and around the Eternal City,"A mushroom that grows in the false night in and around the Eternal City.
Material used for crafting items.

It drips with a viscous fluid that behaves much like oil.",White (Small),999,999,10,20761,01009,20,101080
Erdleaf Flower,,Material used for crafting items,Found throughout the Lands Between,"A dusky yellow flower that has started to fade to brown, found throughout the Lands Between.
Material used for crafting items.

Said to be fed by leaves that fell from the Erdtree in days of antiquity.",White (Small),999,999,10,20680,00526,20,101090
Faded Erdleaf Flower,,Material used for crafting items,Blooms in rotten lands,"An Erdleaf flower that has faded to a pale scarlet, found blooming in rotten lands.
Material used in crafting items.

Said to be fed by leaves that fell from the Erdtree in days of antiquity.",White (Small),999,999,10,20660,01003,20,101100
Fire Blossom,,Material used for crafting items,Blooms on the Mountaintops of the Giants,"A half-ashen and smoldering flower that blooms on the Mountaintops of the Giants.
Material used for crafting items.

Fertilized by the sparks from the forge at the peak where burns the flame of ruin.",White (Small),999,999,10,20682,01006,20,101110
Poisonbloom,,Material used for crafting items,Blooms in toxic terrain,"Flower that grows in toxic terrain.
Material used for crafting items.

Dripping with a deep-green poisonous liquid.",White (Small),999,999,10,20650,01013,20,101120
Fulgurbloom,,Material used for crafting items,Blooms in lightning-struck lands,"Yellow flower that grows in lightning-struck lands.
Material used for crafting items.

Imbued with traces of lightning's essence.",White (Small),999,999,10,20652,01031,20,101130
Altus Bloom,,Material used for crafting items,Blooms on the Altus Plateau,"A golden-tinged flower from a succulent plant that blooms on the Altus Plateau.
Material used for crafting items.

Said to be a funereal flower in an era long past, before the Erdtree grew.",White (Small),999,999,10,20681,01001,20,101140
Bloodrose,,Material used for crafting items,Blooms in blood-soaked soil,"Blood-slick roses that bloom in blood-soaked soil.
Material used for crafting items.

Particularly beloved by those who serve the Lord of Blood. Glory to his inevitable reign.",White (Large),999,999,10,20723,01028,20,101150
Grave Violet,,Material used for crafting items,Blooms in graveyards,"A purple flower that blooms in graveyards.
Material used for crafting items.

The hue of ghostflame, it's believed to be useful in calling forth spirits.",White (Small),999,999,10,20654,01033,20,101160
Tarnished Golden Sunflower,,Material used for crafting items,Found near Minor Erdtrees,"A large flower that blooms facing the Erdtree.
Material used for crafting items.
Found near Minor Erdtrees.

Though wilted and faded, it still retains holy essence.",White (Small),999,999,10,20685,01044,20,101170
Golden Sunflower,,Material used for crafting items,Found near Minor Erdtrees,"A golden sunflower that grows facing the Erdtree.
Material used for crafting items.
Found near Minor Erdtrees.

At the foot of the Erdtree, they retain their color, along with a powerful holy essence.",White (Small),999,999,10,20683,01021,20,101180
Trina's Lily,,Material used for crafting items,Exceedingly rare to find,"A light-purple water lily that is on the verge of wilting.
Material used for crafting items.
Exceedingly rare to find.

A symbol of faith in St. Trina.
Dulls the senses, preventing agitation.",Purple,999,999,10,20651,01014,20,101190
Miquella's Lily,,Material used for crafting items,Exceedingly rare to find,"A delicate water lily of unalloyed gold that has started to fade and wilt.
Material used for crafting items.
Exceedingly rare to find.

A flower signifying faith in the Haligtree.
Thought to be beloved by the Empyrean Miquella in his youth.",Purple,999,999,100,20653,01039,20,101200
Crystal Bud,,Material used for crafting items,Widely found in Liurnia Lake,"A young plant, crystalized before it could mature.
Material used for crafting items.

Widely found in Liurnia Lake.",White (Small),999,999,10,20750,01000,20,101210
Rimed Crystal Bud,,Material used for crafting items,Widely found in cold regions,"A young plant, frozen into a crystal before it could mature. Material used for crafting items.

Widely found in cold regions.",White (Small),999,999,10,20751,01007,20,101220
Sacramental Bud,,Material used for crafting items,Exceedingly rare to find,"An immature bud containing fresh blood.
Material used for crafting items.

Believed to originate long ago from a strain of buds cultivated with youthful, sacramental blood.",Purple,999,999,100,20753,01016,20,101230
Eye of Yelough,,Material used for crafting items,Grown in lands afflicted by frenzy,"A shrub fruit bursting with ripened pulp.
Material used for crafting items.

Grown in lands afflicted by frenzy, it's used for its pain-relieving properties... Though it's also known to be a dangerous intoxicant.",Purple,999,999,100,20740,01025,20,101240
Miranda Powder,,Material used for crafting items,Found by killing miranda flowers,"Pollen from a man-eating miranda flower.
Material used for crafting items.

Throughout history, perfumers have prized this extremely fragrant form of miranda pollen, not yet scattered into the air.",White (Small),999,999,10,15150,00521,20,101250
Root Resin,,Material used for crafting items,Secreted from the roots of the Greattree. Can also be found near trees on the surface.,"Resin secreted from the roots of the Greattree.
Can also be found near trees on the surface.
Material used in crafting items.

The roots of the Greattree were once linked to those of the Erdtree, or so they say, and it is for this reason catacombs are built around Greattree roots.",White (Small),999,999,10,20775,00542,20,101260
Cave Moss,,Material used for crafting items,Gives off pale light in dark caves,"Faintly luminescent moss that grows in dark caves.
Material used in crafting items.

A fundamental ingredient for medicinal boluses.",White (Small),999,999,10,20840,01022,20,101270
Budding Cave Moss,,Material used for crafting items,Gives off pale light in dark caves,"Faintly luminescent moss that grows in dark caves, speckled with tiny, yellow flowers.

Material used for crafting items.

It is primarily used in perfumes.",White (Small),999,999,10,20841,01023,20,101280
Crystal Cave Moss,,Material used for crafting items,Gives off pale light in dark caves,"Faintly luminescent moss that grows in dark caves, laced with fine crystals.

Material used for crafting items.

Among mosses, it possesses unique medicinal properties.",White (Small),999,999,10,20842,01032,20,101290
String,,Material used for crafting items,Often carried by demi-humans,"Boasting no special qualities, this is merely a goodly length of string.

Material used for crafting items.
Often carried by demi-humans.

Used to make certain items easier to use.",White (Small),999,999,10,15400,00505,30,102000
Sanctuary Stone,,Material used for crafting items,"Found near the remains of fallen ruins, but rarely","A rare piece of stone fragment found near places where ruins have fallen from the sky.
Material used for crafting items.

It feeds and strengthens the light as it shines.",White (Large),999,999,10,20795,01038,30,102010
Cracked Crystal,,Material used for crafting items,Widely found in crystal tunnels,"A cracked, impure, degraded, and altogether unremarkable crystal.
Material used for crafting items.

Widely found in crystal tunnels.",White (Small),999,999,10,20780,00541,30,102020
Volcanic Stone,,Material used for crafting items,Found on Mt. Gelmir,"A smoldering rock containing hot gas.
Material used for crafting items.

Found on Mt. Gelmir.",White (Small),999,999,10,20850,01002,30,102030
Formic Rock,,Material used for crafting items,Found near Ainsel River and other places where giant ants live,"Rock formed from solidified giant ant venom. Highly acidic. Material used for crafting items.

Found near Ainsel River and other places where giant ants live.",White (Large),999,999,100,20852,01017,30,102040
Gravel Stone,,Material used for crafting items,Found in lands once beset by ancient dragons,"A small clump of sharp, pointed stones.
Material used for crafting items.

Such compound stones, found in lands once beset by ancient dragons, are said to be the scales of those very beasts.",Purple,999,999,100,20855,01027,30,102050
